date,ad,cci10,aroon10_up,aroon10_down,volume,bbands5_middle_band,macd,stoch_slowd,adx10,close,macd_hist,rsi10,macd_signal,high,bbands5_upper_band,bbands5_lower_band,sma10,open,low,stoch_slowk,obv,ema10
2019-07-18,-3013136133.6637,-106.9610,70.0000,100.0000,30808700,137.5140,1.7901,39.1155,22.6789,136.4200,-0.3245,46.2290,2.1146,136.6200,141.0061,134.0219,137.4170,135.5500,134.6700,18.6611,-1946542300.0000,137.2532
2019-07-19,-3058181278.6874,31.0816,100.0000,90.0000,48992400,137.0580,1.9077,25.4289,22.8981,136.6200,-0.1655,64.1430,2.0732,140.6700,139.9396,134.1764,137.8450,140.2200,136.4500,23.3134,-1897549900.0000,137.7926
2019-07-22,-3053597694.8164,51.6009,90.0000,80.0000,25074900,136.9640,1.7540,28.5583,23.0953,138.4300,-0.2554,52.4586,2.0094,139.1900,139.3103,134.6177,137.9460,137.4100,137.3300,43.7003,-1872475000.0000,137.7231
2019-07-23,-3048444951.9593,101.0563,80.0000,70.0000,18034600,137.4060,1.8010,41.4675,23.8343,139.2900,-0.1667,59.3409,1.9677,139.9900,141.0750,133.7370,138.3220,139.7600,138.0300,57.3889,-1854440400.0000,138.0934
2019-07-24,-3028145557.7794,140.2201,100.0000,60.0000,20738300,138.2960,1.7485,60.2894,25.0015,140.7200,-0.1754,56.0305,1.9239,140.7400,143.1723,133.4197,138.4987,138.8968,138.8500,79.7791,-1833702100.0000,138.2395
2019-07-25,-3021741988.0119,109.0462,90.0000,50.0000,18356900,139.0500,1.8097,75.0393,26.0520,140.1900,-0.0913,60.3913,1.9010,140.6100,143.3840,134.7160,138.7217,140.4300,139.3200,87.9500,-1852059000.0000,138.6378
2019-07-26,-3012085234.3887,131.2376,100.0000,40.0000,19037600,139.9940,1.8323,86.9135,27.7252,141.3400,-0.0550,60.1320,1.8873,141.6800,143.0882,136.8998,138.8737,140.3700,140.3000,93.0113,-1833021400.0000,138.9527
2019-07-29,-3002928710.0897,86.8352,90.0000,30.0000,16605900,140.5140,1.9192,89.3821,27.8279,141.0300,0.0255,63.4190,1.8937,141.5100,142.6749,138.3531,139.0797,141.5000,139.3700,87.1851,-1849627300.0000,139.4159
2019-07-30,-3006725104.4559,65.5147,80.0000,20.0000,16846500,140.7260,1.8570,85.3298,27.9203,140.3500,-0.0294,57.1212,1.8863,141.2200,141.9975,139.4545,139.1977,140.1400,139.8000,75.7931,-1866473800.0000,139.5475
2019-07-31,-3028343286.3413,-86.8603,70.0000,10.0000,38598800,139.8360,1.8022,71.3511,27.1599,136.2700,-0.0673,57.7721,1.8695,140.4900,145.3340,134.3380,139.4607,140.3300,135.0800,51.0752,-1905072600.0000,139.6898
2019-08-01,-3046042943.4485,-43.0948,60.0000,0.0000,40557500,139.4100,1.4731,55.1989,26.0086,138.0600,-0.3171,44.5900,1.7902,140.9400,145.2450,133.5750,139.6057,137.0000,136.9300,38.7285,-1864515100.0000,139.2007
2019-08-02,-3043829168.2851,-132.7857,50.0000,80.0000,30791600,138.5220,1.2854,40.0997,26.1360,136.9000,-0.4038,48.8359,1.6892,138.3200,144.1421,132.9019,139.3927,138.0900,135.2600,30.4955,-1895306700.0000,138.9988
2019-08-05,-3047764845.7454,-221.5432,40.0000,100.0000,42749600,136.7580,0.7416,32.7584,28.3694,132.2100,-0.7581,35.5389,1.4997,133.9300,144.7563,128.7597,138.9817,133.3000,130.7800,29.0512,-1938056300.0000,137.9626
